Ref,Val,Package,PosX,PosY,Rot,Side
"HandSoldering2Pins-IN3","Conn_01x02","HandSoldering-2pins-OUT",97.335400,-245.840000,180.000000,bottom
"HandSoldering2Pins-OUT7","Conn_01x02","HandSoldering-2pins-reversible-OUT-bottom",-45.795001,-147.889605,180.000000,bottom
"HandSoldering2Pins-OUT8","Conn_01x02","HandSoldering-2pins-reversible-OUT-bottom",-27.795001,-141.889605,180.000000,bottom
"HandSoldering2Pins-OUT9","Conn_01x02","HandSoldering-2pins-reversible-OUT-bottom",-12.860000,-150.990000,180.000000,bottom
"VIKLOGO2","VIKLOGO","vik-logo-small",31.765223,-115.855617,180.000000,bottom
