Comment,Designator,Footprint,LCSC Part Number,Quantity,MFR,
12 pins horizontal FPC connector ZIF pitch 0.5mm,VIK1,Vik-module-connector-horizontal,C479750,1,FPC05012-09200,x
8 pins vertical FPC connector pitch 0.5mm,"K2,K1,K3,K6,K4,K5",FPC_8pins_VERTICAL_MOUSER-FFC2A3308TR-OUT-routed,C262301,6,AFC11-S08ICC-00 ,x
4 pins horizontal FPC connector ZIF pitch 0.5mm,"F1,F2,F3",FPC_4pins_Horizontal-PULL-OUT,C2906108,3,XW05202-040R-00 ,
10 pins horizontal FPC connector ZIF pitch 0.5mm,"T2,T1",FPC_10p-reversible-ThumbORJoystick-OUT,C262659,2,AFC01-S10FCA-00,
,,,,, ,
